,,text_raw,instrument,text_clean,text_freq
82,205,it reminded me of the movie cinderella as she is running away from the ball at midnight,Piano,remind movie cinderella run away ball midnight,remind movie cinderella run away ball midnight
83,141,"I imagined an Italian couple riding their bikes in the Italian countryside, sometimes accelerating as they are going downhill. Bright sun in the blue sky, gorgeous day.",Harp,imagined italian couple rid bike italian countryside sometimes accelerate go downhill bright sun blue sky gorgeous day,imagined italian couple rid bike italian countryside sometimes accelerate go downhill bright sun blue sky gorgeous day
84,223,The music made me think of the lake we used to go to in the weekends and of riding my bike around it with my sister.,Violin,music make think lake use go weekend rid bike around sister,make think lake use go weekend rid bike around sister
85,135,I imagined a ballerina's solo in a performance. She's in costume and very smiley despite her aching feet.,Harp,imagine ballerina solo performance costume smiley despite ache foot,imagine ballerina solo performance costume smiley despite ache foot
86,189,reminded me of the music in the video game Civilization I played a ton when I was a teenager.,Bells,remind music video game civilization play ton teenager,remind video game civilization ton teenager
87,181,Reminded me of being in a traditional church when I was younger,Bells,remind traditional church younger,remind traditional church younger
88,285,Military,Drum,military,military
89,125,It made me think about two characters walking down a narrow cobblestone street with pretty old buildings to either side of them under the stars. One of them gets the other a single rose from a basket from the side of the road and then they enter a busy festival like environment when the music speeds up.,Clarinet,make think two character walk narrow cobblestone street pretty old building either side star one get single rise basket side road enter busy festival like environment music speed,make think two character walk narrow cobblestone street pretty old building either side star one get single rise basket side road enter busy festival like environment speed
90,105,I imagined a cellist playing,Cello,imagined cellist playing,imagined cellist playing
91,272,"campfire at a girl scout camp, someone playing Taps in the woods and everyone sitting reverently and listening in silence; also a video i saw of a man playing ""a long long time"" by Harry James/kitty kalen on a solo trumpet in a church",Trumpet,campfire girl scout camp someone play tap wood everyone sit reverently listen silence also video saw man play long long time harry james kitty kalen solo trumpet church,campfire girl scout camp someone tap wood everyone sit reverently listen silence also video saw man long long time harry james kitty kalen solo trumpet church
92,167,I imagined a drummer boy during the Revolutionary War,Drum,imagined drummer boy revolutionary war,imagined drummer boy revolutionary war
93,279,Drumline performances during high school football games.,Drum,drumline performance high school football game,drumline performance high school football game
94,277,not a memory I have had but in general in movies I see people in castles and they play trumpets like this,Trumpet,memory general movie see people castle play trumpet like,memory general movie see people castle trumpet like
95,12,An epic or soul-finding solo journey in the Himalayans. A positive moment. Buddhist monks,Bells,epic soul find solo journey himalayans positive moment buddhist monk,epic soul find solo journey himalayans positive moment buddhist monk
96,111,a classical slow dance. reminded me from the Netflix show Bridgerton them at a ball dancing with a partner,Cello,classical slow dance remind netflix show bridgerton ball dancing partner,classical slow dance remind netflix show bridgerton ball dancing partner
97,293,the sound of the drums triggered a memory of being a dancer on the sidelines of high school football games and watching the drummers.,Drum,sound drum trigger memory dancer sideline high school football game watch drummer,sound drum trigger memory dancer sideline high school football game watch drummer
98,215,It reminded me of when I used to get ready for high school in the morning at my dad's house and he'd always have classical music on,Violin,remind used get ready high school morning dad house always classical music,remind used get ready high school morning dad house always classical
99,79,"an Asian, maybe Chinese, ritual. Incense and smoke and candles.",Pipa,asian maybe chinese ritual incense smoke candle,asian maybe chinese ritual incense smoke candle
100,206,"This triggered a lot of vivid memories of pianists that I had heard in the past. I imagined my previous piano teacher, former classmate in a random place in chicago, pianist for our full orchestra, etc.",Piano,trigger lot vivid memory pianists heard past imagine previous piano teacher former classmate random place chicago pianist full orchestra etc,trigger lot vivid memory pianists heard past imagine previous piano teacher former classmate random place chicago pianist full orchestra etc
101,72,I imagined an old man sitting in a Chinese-style abode playing this on an old fashioned guitar (the ones with three strings and the thin neck). I imagined a hot day with a butterfly going past.,Pipa,imagined old man sit chinese style abode play old fashion guitar one three string thin neck imagine hot day butterfly go past,imagined old man sit chinese style abode old fashion guitar one three string thin neck imagine hot day butterfly go past
102,73,I imagined Kung-fu panda and noodles his father makes.,Pipa,imagine kung fu panda noodles father make,imagine kung fu panda noodles father make
103,197,"like middle school choir, kind of depressing",Flute,like middle school choir kind depressing,like middle school choir kind depressing
104,266,Italy,Harp,italy,italy
105,69,"I pictured a desert setting, with wooden buildings like in a stereotypical western. I also thought of Radiator Springs from Cars. I imagined a tumbleweed passing through, displaying a general absence of life or thrill.",Pipa,picture desert set wooden building like stereotypical western also think radiator spring car imagine tumbleweed pass display general absence life thrill,picture desert set wooden building like stereotypical western also think radiator spring car imagine tumbleweed pass display general absence life thrill
106,15,I imagined a story taking place in medieval times where the characters were walking in the woods to reach a destination.,Bells,imagined story take place medieval time character walk wood reach destination,imagined story take place medieval time character walk wood reach destination
107,202,This music reminded me of when I have gone to the theatre and seen the Nutcracker perform because the music seems similar,Flute,music remind go theatre see nutcracker perform music seem similar,remind go theatre see nutcracker perform seem similar
108,198,Bambi and nature. It also gave me Asian vibes because of the flute sounds.,Flute,bambi nature also give asian vibe flute sound,bambi nature also give asian vibe flute sound
109,204,"It made me think of one Looney Tunes clip where Bugs Bunny played a piano for an audience, especially during the parts with the rapid high-pitched notes.",Piano,make think one looney tune clip bug bunny play piano audience especially part rapid high pitch note,make think one looney tune clip bug bunny piano audience especially part rapid high pitch note
110,118,I imagined someone practicing clarinet in a practice room somewhere far removed from a group of people.,Clarinet,imagine someone practice clarinet practice room somewhere far remove group people,imagine someone practice clarinet practice room somewhere far remove group people
111,187,The opening sequence of a movie. Opening credits. Warner Bros. Or the lady with the torch.,Bells,open sequence movie open credit warner bros lady torch,open sequence movie open credit warner bros lady torch
112,153,it reminded me of an announcement/ call to the public,Trumpet,remind announcement call public,remind announcement call public
113,110,This music made me think of a similar story to the violin music. It make me think of people in old England dancing at a ball with big dresses and fancy suits with live music playing for them to dance to,Cello,music make think similar story violin music make think people old england dance ball big dress fancy suit live music playing dance,make think similar story violin make think people old england dance ball big dress fancy suit live playing dance
114,210,The piano playing loudly did trigger a memory for me.,Piano,piano play loudly trigger memory,piano loudly trigger memory
115,274,"Arlington Cemetery, peaceful and sunny with a slight breeze",Trumpet,arlington cemetery peaceful sunny slight breeze,arlington cemetery peaceful sunny slight breeze
116,246,It again reminded me of the classical music station before school,Cello,reminded classical music station school,reminded classical station school
117,137,"live music somewhere, at a restaurant or in street of big city like Paris",Harp,live music somewhere restaurant street big city like paris,live somewhere restaurant street big city like paris
118,40,"A Victorian-era ball and there are several different couples dancing to the music being played. One couple, in particular, is in the middle with several others dancing around them. They are having a quiet and intense important conversation without trying to raise the alarm of the others.",Piano,victorian era ball several different couple dance music play one couple particular middle several others dance around quiet intense important conversation without try raise alarm others,victorian era ball several different couple dance one couple particular middle several others dance around quiet intense important conversation without try raise alarm others
119,209,This music triggered a memory because the pain music is something I am familiar with because I have played piano. Hearing piano music makes me think of learning piano,Piano,music trigger memory pain music something familiar play piano hear piano music make think learn piano,trigger memory pain something familiar piano hear piano make think learn piano
120,217,This music triggered a memory of watching Bridgerton with my friends because the scenes in that show are quite similar to what I imagined,Violin,music trigger memory watch bridgerton friend scenes show quite similar imagine,trigger memory watch bridgerton friend scenes show quite similar imagine
121,242,reminds me of being in spain and listening to Spanish guitar at flamenco shows,Guitar,reminds spain listen spanish guitar flamenco show,reminds spain listen spanish guitar flamenco show
122,159,This music made me think of a war story or war movie with the trumpet noises. Possibly like at the end of a conflict or war when the battle is done,Trumpet,music make think war story war movie trumpet noise possibly like end conflict war battle do,make think war story war movie trumpet noise possibly like end conflict war battle do
123,212,I said above that it reminded me of when I used to do my piano performances for the judges and I would be sitting waiting my turn and hear all the people playing in their rooms,Piano,say remind use piano performance judge would sit wait turn hear people play room,say remind use piano performance judge would sit wait turn hear people room
124,251,This reminded me a little bit of a time I went to the symphony when I was younger because the string instrument sound is similar,Cello,remind little bit time go symphony young string instrument sound similar,remind little bit time go symphony young string instrument sound similar
125,74,I imagined a desert scene with tumbleweed and lizards. I also imagined a silhouette of a cowboy walk through the desert alone.,Pipa,imagine desert scene tumbleweed lizard also imagine silhouette cowboy walk desert alone,imagine desert scene tumbleweed lizard also imagine silhouette cowboy walk desert alone
126,232,Western America in the Past and Modern,Pipa,western america past modern,western america past modern
127,139,"a princess/girl exploring a magic garden or labyrinth filled with fairies and fairytale/fantasy elements, some scary and some beautiful",Harp,princess girl explore magic garden labyrinth fill fairy fairytale fantasy element scary beautiful,princess girl explore magic garden labyrinth fill fairy fairytale fantasy element scary beautiful
128,150,I imagined a military send off that was wholly American with people saluting a soldier as he is put to rest.,Trumpet,imagined military send wholly american people salute soldier put rest,imagined military send wholly american people salute soldier put rest
129,120,I imagined a detective searching a house for clues.,Clarinet,imagined detective searching house clue,imagined detective searching house clue
130,127,This made me think of something running after something in the woods. The characters were not clear. It was nothing running from a human (music was too playful). It was very difficult to determine many of the characteristics of the story.,Clarinet,make think something run something wood character clear nothing run human music playful difficult determine many characteristic story,make think something run something wood character clear nothing run human playful difficult determine many characteristic story
131,0,"Made me think of snow/wintertime, a small town all decorated for the holiday.",Bells,make think snow wintertime small town decorate holiday,make think snow wintertime small town decorate holiday
132,66,I imagined being in a ball or some fancy party from back then and hearing this music playing,Violin,imagine ball fancy party back hear music playing,imagine ball fancy party back hear playing
133,92,Hawaiian beach,Guitar,hawaiian beach,hawaiian beach
134,286,MARCHING BAND,Drum,march band,march band
135,248,sounds similar to a famous Bach cello suite-- Gmaj?-- that was famously played in a hospital commercial for a couple of years in my hometown.,Cello,sound similar famous bach cello suite gmaj famously play hospital commercial couple year hometown,sound similar famous bach cello suite gmaj famously hospital commercial couple year hometown
136,86,Slot machines,Guitar,slot machine,slot machine
137,289,war movies or marching band,Drum,war movie march band,war movie march band
138,53,A group of men in suits playing violin on a large ship,Violin,group men suit play violin large ship,group men suit violin large ship
139,54,Man and woman slow dancing,Violin,man woman slow dancing,man woman slow dancing
140,20,An old man and his spouse falling in love again.,Flute,old man spouse fall love,old man spouse fall love
141,165,Military men lined up in rows playing music. Perhaps one of them was falling short and was looking to prove himself through playing this piece.,Drum,military men line row play music perhaps one fall short look prove play piece,military men line row perhaps one fall short look prove piece
142,29,"Bambi is in the woods sniffing flowers and other green tall grass plants. Bambi is walking down a wide dirt path. From high above, a green witch in a dark black hood stares with her bright yellow eye at Bambi. The witch is scheming something mischievous, but Bambi doesn't have a clue.",Flute,bambi wood sniff flower green tall grass plant bambi walk wide dirt path high green witch dark black hood stare bright yellow eye bambi witch scheme something mischievous bambi clue,bambi wood sniff flower green tall grass plant bambi walk wide dirt path high green witch dark black hood stare bright yellow eye bambi witch scheme something mischievous bambi clue
143,129,"I imagined a love story between 2 lovers who kinda play hide and seek while dancing together at the same time. They find each other, kiss, then are far away from each other, then are close to each other again.",Clarinet,imagine love story lover kinda play hide seek dance together time find kiss far away close,imagine love story lover kinda hide seek dance together time find kiss far away close
144,37,"I saw a couple dancing in an old fashion ballroom, dressed up, big ball gown, little old man playing the piano in the corner",Piano,saw couple dance old fashion ballroom dress big ball gown little old man play piano corner,saw couple dance old fashion ballroom dress big ball gown little old man piano corner
145,94,The music made me think about the wedding reception scene in the Chronicle of a Death Foretold where people were dancing and the main character was very distracted.,Guitar,music make think wed reception scene chronicle death foretold people dance main character distract,make think wed reception scene chronicle death foretold people dance main character distract
146,16,I imagined being in a church with a choir playing bells that were for Christmas music,Bells,imagine church choir play bell christmas music,imagine church choir bell christmas
147,103,I imagined a big British palace and a older man walking down the hallway. He was wearing a wig like the one George Washington wore.,Cello,imagine big british palace old man walk hallway wear wig like one george washington wear,imagine big british palace old man walk hallway wear wig like one george washington wear
148,60,wedding outdoors Irish vibes,Violin,wed outdoors irish vibe,wed outdoors irish vibe
149,75,"I imagined a place, maybe China? Definitely east asian music",Pipa,imagined place maybe china definitely east asian music,imagined place maybe china definitely east asian
